# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
F | Miete | Miete | Miete | Miete | Mieten | Mieten | Mieten | Mieten | Арендная плата,Rent,Rental,Renting | A1,Аренда жилья
M | Vermieter | Vermieters | Vermieter | Vermieter | Vermieter | Vermieter | Vermietern | Vermieter | Арендодатель,Landlord,Hirer | A1,Аренда жилья
M | Eingang | Einganges/Eingangs | Eingang/Eingange | Eingang | Eingänge | Eingänge | Eingängen | Eingänge | Way in,Entrance,Вход | A1,Дом
M | Ausgang | Ausganges/Ausgangs | Ausgang/Ausgange | Ausgang | Ausgänge | Ausgänge | Ausgängen | Ausgänge | Exit,Outcome,Way out,Gate,Output,Выход | A1,Дом
F | Halle | Halle | Halle | Halle | Hallen | Hallen | Hallen | Hallen | Hall,Workshop,Hangar,Зал | A1,Дом
M | Stock | Stockes/Stocks | Stock/Stocke | Stock | Stöcke | Stöcke | Stöcken | Stöcke | Floor,Stick,Level,Plant,Этаж | A1,Дом
M | Aufzug | Aufzuges/Aufzugs | Aufzug/Aufzuge | Aufzug | Aufzüge | Aufzüge | Aufzügen | Aufzüge | Лифт,Lift,Eleveator,Act,Approach | A1,Дом
F | Treppe | Treppe | Treppe | Treppe | Treppen | Treppen | Treppen | Treppen | Stairs,Лестница | A1,Дом
F | Ecke | Ecke | Ecke | Ecke | Ecken | Ecken | Ecken | Ecken | Angle,Corner,Угол | A1,Дом
M | Raum | Raumes/Raums | Raum/Raume | Raum | Räume | Räume | Räumen | Räume | Room,Комната,Помещение,Space,Region,Area,Zone | A1,Дом
F | Farbe | Farbe | Farbe | Farbe | Farben | Farben | Farben | Farben | Paint,Tan,Suit,Color,Stain,Tint,Dye,Краска,Цвет | A1,Дом
N | Bad | Bades/Bads | Bad/Bade | Bad | Bäder | Bäder | Bädern | Bäder | Bath,Spa,Ванна | A1,Дом
